event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
IRQ61393,2025-01-01,2025,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Iraq (2022-) Popular Mobilization Forces","Military Forces of Iraq (2022-) Intelligence and Information Department","State forces","Islamic State in Iraq and the Levant (ISIL)",,"Rebel group","State forces-Rebel group",,368,"Middle East",Iraq,"Al Anbar","Al Rutba","Markaz Al Rutba","Ar Rutba",33.0373,40.2826,2,"Al Maloomah",National,"Defusal: On 1 January 2025, the Popular Mobilization Forces conducted a security operation in the desert areas of Al Rutba district (coded as Ar Rutba city, Al Anbar), finding a tunnel belonging to ISIL militant and seizing two vehicles and an unspecified number of weapons, ammunition and explosive devices hidden inside the tunnel. The PMF had received intelligence information about the tunnel. The EOD team defused the weapons and explosives.",0,,1759781401,6119,21388,27008,
IRQ61676,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Barwari Bala","Gire FM",37.1503,43.5611,2,"People's Defense Forces",Other,"On 1 January 2025, Turkish army forces carried out shelling against PKK war tunnels in the Gire FM area (Al Amadiya, Duhok). HPG (PKK) claimed that Turkish forces used banned explosives during the shelling, but other sources did not confirm this. Casualties unknown.",0,,1753954492,0,1,14,14
IRQ61678,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Barwari Bala",Shelaza,37.1538,43.3850,2,"People's Defense Forces",Other,"On 1 January 2025, Turkish army forces carried out shelling against PKK war tunnels in the Selaze (Shelaza) area in Al Amadiya district, Duhok. HPG (PKK) claimed that Turkish forces used banned explosives during the shelling, but other sources did not confirm this. Casualties unknown.",0,,1753954492,30,37,38,38
IRQ61740,2025-01-01,2025,1,"Political violence",Battles,"Armed clash","PKK: Kurdistan Workers Party",,"Rebel group","Military Forces of Turkey (2016-)",,"External/Other forces","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Barwari Bala",Metina,37.1683,43.2709,2,"Al Maloomah",National,"On 1 January 2025, unknown snipers likely to be PKK member shot and injured 2 Turkish army soldiers and 1 officer in the Metina region (Al Amadiya, Duhok). There were no fatalities.",0,,1753954492,1,1,1,1
IRQ61839,2025-01-01,2025,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Iraq)",,"Political militia","Civilians (Iraq)",,Civilians,"Political militia-Civilians","Civilian targeting",368,"Middle East",Iraq,Baghdad,"Al Mahmoudiya","Al Yousifya","Ad Dawrah",33.1422,44.2442,1,"Al Sumaria TV",National,"On 1 January 2025, unknown gunmen shot and killed a 20-year-old man in Ad Dawrah city (Baghdad). His body was found next to Al Yusufiyah bridge in Asia neighborhood of Ad Dawrah city, with gunshot wounds to the back. 1 fatality.",1,,1762291738,855,2551,10512,10512
IRQ61853,2025-01-01,2025,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Iraq)",,"Political militia","Unidentified Armed Group (Iraq)",,"Political militia","Political militia-Political militia",,368,"Middle East",Iraq,Baghdad,"Al Adhamiya","Al Rashdia","Al Husseiniya",33.5467,44.4167,1,"National Iraqi News Agency",National,"On 1 January 2025, gunmen clashed in Al Husseiniya city (Baghdad) after a children's quarrel. 4 participants of the clash were killed and 2 injured during the exchange of fire. The police (20th Brigade) arrested 13 participants of the clash, seizing 4 AK-47s and a pistol. 2 injured, 4 fatalities.",4,,1762291738,26660,137911,216449,216449
ISR44645,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Hamas Movement",,"Political militia",,,,"Political militia only",,376,"Middle East",Israel,HaDarom,"Beer Sheva",Gerar,Netivot,31.4231,34.5891,2,"Jerusalem Post; Kan News; Now 14; Times of Israel; Ynet",National,"On 1 January 2025, Hamas militants in Gaza fired two rockets toward Netivot (Beer Sheva, HaDarom). One of the rockets fell in an open area near Netivot. No casualties occurred.",0,,1736845144,13734,38437,46801,46801
ISR44646,2025-01-01,2025,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Israel (2022-)",,"State forces","Hamas Movement",,"Political militia","State forces-Political militia",,376,"Middle East",Israel,HaDarom,"Beer Sheva",Gerar,Netivot,31.4231,34.5891,2,"Jerusalem Post; Kan News; Now 14; Times of Israel; Ynet",National,"Interception: On 1 January 2025, Israeli military forces intercepted a rocket over the area of Netivot (Beer Sheva, HaDarom). Hamas militants in Gaza fired two rockets toward Netivot, one of which was intercepted.",0,,1736845144,13734,38437,46801,
PSE65427,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Al Nasser Salah al Deen Brigades","DFLP: Democratic Front for the Liberation of Palestine","Political militia","Military Forces of Israel (2022-)",,"External/Other forces","Political militia-External/Other forces",,275,"Middle East",Palestine,"Gaza Strip","Gaza City",,"Gaza - Nezarim",31.4840,34.4056,2,"Quds News Network",National,"On 1 January 2025, Al Nasser Salah al Deen Brigades and the DFLP (Martyr Omar Al-Qassem Forces) struck an Israeli command and control position with mortar shells in Gaza - Nezarim (Gaza City, Gaza Strip). Casualties unknown.",0,,1753956656,2039,4447,4447,4447
PSE65667,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Mujahideen Brigades",,"Political militia","Military Forces of Israel (2022-)",,"External/Other forces","Political militia-External/Other forces",,275,"Middle East",Palestine,"West Bank",Tubas,,Tammun,32.2835,35.3837,2,"Long War Journal",International,"On 1 January 2025, Mujahideen Brigades targeted an Israeli military vehicle via roadside near the Tammun junction( Tubas, West Bank), likely as they ere passing by. Militants claimed they 'directly injured' Israeli forces but that has not been confirmed. There were no fatalities.",0,,1753956656,11158,13439,14525,14525
YEM95872,2025-01-01,2025,1,"Political violence",Battles,"Armed clash","Military Forces of Yemen (2017-) Houthi",,"State forces","Military Forces of Yemen (2022-2026) Presidential Leadership Council","Military Forces of Yemen (2022-2026) Presidential Leadership Council - STC","State forces","State forces-State forces",,887,"Middle East",Yemen,Lahij,"Al Musaymir",,"Al Qurayn",13.5488,44.4974,2,"Al Sahil Al Gharbi",National,"On 1 January 2025, overnight Houthi forces exchanged artillery with joint forces (coded as IRG + STC generic forces) along frontline positions in Karish front (coded to Shurayjah) (Al Qabbaytah) and Al Qurayn front (Al Musaymir) (Lahij), causing 'huge human and material losses' among Houthi fighters. Unclear fatalities coded as 10 on Houthi side. Fatalities split across 2 events. 5 fatalities coded to this location.",5,,1772581294,,129,722,722
YEM95880,2025-01-01,2025,1,"Political violence","Violence against civilians",Attack,"Military Forces of Yemen (2017-) Houthi",,"State forces","Civilians (Yemen)",,Civilians,"State forces-Civilians","Civilian targeting",887,"Middle East",Yemen,"Amanat al Asimah",,,Sanaa,15.3547,44.2067,3,"Al Sahil Al Gharbi",National,"On 1 January 2025, a Houthi armed man shot and killed 1 civilian on Taizz street in Amanat al Asimah governorate (coded to governorate capital Sanaa). The reason behind the attack was not reported. The Houthi armed man fled to an unknown destination.",1,,1754563409,47396,47462,47462,47462
PSE66169,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,275,"Middle East",Palestine,"Gaza Strip","Deir El Balah",,"Al Burayj",31.4394,34.4031,2,"Palestine News and Information Agency; Quds News Network",National,"On 1 January 2025, Israeli artillery shelled the southeast of Al Burayj Camp (Deir El Balah, Gaza Strip). Israeli artillery also shelled the vicinity of Al Moqadma area, north of Al Burayj coded to the same location. Casualties unknown for both shelling.",0,,1753956656,27442,36801,37639,37639
PSE66172,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,275,"Middle East",Palestine,"Gaza Strip","Deir El Balah",,"An Nusayrat - North",31.4591,34.3923,2,"Quds News Network",National,"On 1 January 2025, Israeli artillery shelled the northwestern areas of An Nusayrat Camp, coded to An Nusayrat - North (Deir El Balah, Gaza Strip). Casualties unknown.",0,,1753956656,26759,28370,28398,28398
PSE66251,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces","Civilians (Palestine)","Refugees/IDPs (Palestine)",Civilians,"External/Other forces-Civilians","Civilian targeting",275,"Middle East",Palestine,"Gaza Strip","Deir El Balah",,"Al Burayj",31.4394,34.4031,1,"Palestine News and Information Agency; Quds News Network",National,"On 1 January 2025, Israeli warplanes struck a residential home in Al Burayj (Deir El Balah, Gaza Strip), resulting in two dead. Additionally, Israeli warplanes struck a home in Block 9 in the center of Kat in the same location, resulting in deaths and injuries [unspecified fatalities coded as three]. While, Israeli artillery shelled the area.",5,,1753956656,27442,36801,37639,37639
PSE66254,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces","Civilians (Palestine)",,Civilians,"External/Other forces-Civilians","Civilian targeting",275,"Middle East",Palestine,"Gaza Strip","Gaza City",,"Gaza - Ash Shati' Camp",31.5349,34.4466,2,"Palestine News and Information Agency; Quds News Network",National,"On 1 January 2025, Israeli artillery shelled the northwestern areas of Gaza City, coded to Gaza - Ash Shati' Camp (Gaza City, Gaza Strip). Also, Israeli drones [Quadcopter] fired at residential homes in Al Safttawi, northwest of Gaza City coded to the same location. Casualties unknown for both strikes.",0,,1759790002,24755,24755,24796,24796
PSE66256,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces","Civilians (Palestine)",,Civilians,"External/Other forces-Civilians","Civilian targeting",275,"Middle East",Palestine,"Gaza Strip","Khan Yunis",,"Khan Yunis - Maen",31.3360,34.3172,2,"Ma'an News Agency; Palestine News and Information Agency; Quds News Network",National,"On 1 January 2025, an Israeli drone struck a group of people in Al Manara neighborhood southeast of Khan Yunis coded to Khan Yunis - Maen (Khan Yunis, Gaza Strip), resulting in four dead and others injured.",4,,1753956656,16997,29568,29568,29568
PSE66257,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces","Civilians (Palestine)",,Civilians,"External/Other forces-Civilians","Civilian targeting",275,"Middle East",Palestine,"Gaza Strip","Gaza City",,"Gaza - Shujaiyya",31.4988,34.4699,1,"Ma'an News Agency; Palestine News and Information Agency; Quds News Network",National,"On 1 January 2025, Israeli warplanes struck a piece of land in the vicinity of Brkas Khdouir in Gaza - Shujaiyya (Gaza City, Gaza Strip), while Israeli artillery continuously shelled the Shaaf area in the same location [Casualties unknown]. Additionally, an Israeli drone struck a residential apartment on Al Mushtaha Street in the same location, resulting in seven dead, including three children and a woman. Israeli warplanes also struck an agricultural land near Al Murabteen Mosque in the same area, resulting in two dead. Total fatalities coded at least nine.",9,,1759790002,37483,53544,53544,53544
PSE66258,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces","Civilians (Palestine)",,Civilians,"External/Other forces-Civilians","Civilian targeting",275,"Middle East",Palestine,"Gaza Strip","Gaza City",,"Gaza - Sheikh Radwan",31.5349,34.4667,1,"Palestine News and Information Agency",National,"On 1 January 2025, Israeli drones struck a group of people in Gaza - Sheikh Radwan (Gaza City, Gaza Strip), resulting in a number of injuries.",0,,1759790002,60375,91030,91030,91030
PSE66259,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,275,"Middle East",Palestine,"Gaza Strip","North Gaza",,"Beit Lahiya - Al Mashroo",31.5433,34.4998,1,"Ma'an News Agency",National,"On 1 January 2025, Israeli warplanes launched several heavy raids on Kamal Al Odwan Hospital in Beit Lahiya - Al Mashroo (North Gaza, Gaza Strip). While, Israeli artillery struck the vicinity of the hospital. Casualties unknown.",0,,1753956656,30057,30057,30057,30057
PSE66260,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces","Civilians (Palestine)",,Civilians,"External/Other forces-Civilians","Civilian targeting",275,"Middle East",Palestine,"Gaza Strip","Khan Yunis",,"Al Fukhari",31.2952,34.3332,1,"Quds News Network",National,"On 1 January 2025, Israeli artillery shelled Al Fukhari town in (Khan Yunis, Gaza Strip) [Casualties unknow]. Also, Israeli warplanes struck a residential home in the same area, resulting in injuries. Fatalities unknown.",0,,1753956656,1085,8328,8603,8603
PSE66261,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,275,"Middle East",Palestine,"Gaza Strip",Rafah,,"Tal as Sultan",31.3098,34.2414,1,"Quds News Network; Twitter","New media-National","On 1 January 2025, Israeli warplanes launched a raid targeting the west of Rafah, coded to Tal as Sultan (Rafah, Gaza Strip). Casualties unknown.",0,,1762829569,36225,41863,41971,41971
PSE66266,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,275,"Middle East",Palestine,"Gaza Strip","Gaza City",,Gaza,31.5045,34.4743,1,Liveuamap,"Local partner-New media","On 1 January 2025, Israeli warplanes launched a raid on Gaza City (Gaza City, Gaza Strip). Casualties unknown.",0,,1759790002,37919,37919,37919,37919
SYR138407,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Turkey (2016-)",,"External/Other forces","QSD: Syrian Democratic Forces",,"Rebel group","Rebel group-External/Other forces",,760,"Middle East",Syria,Aleppo,"Ain Al Arab",Sarin,"Qarah Qawzak Bridge",36.6339,38.2058,2,"Liveuamap; North Press Agency; SOHR; The Euphrates Post","Local partner-New media","On 1 January 2025, Turkish forces targeted a QSD military point on Qarah Qawzak Bridge axis in Aleppo countryside with a drone and artillery, killing 3 QSD members, and injuring others. QSD shot down a second Turkish drone. 3 fatalities.",3,,1759187423,251,341,556,556
SYR138464,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Turkey (2016-)",,"External/Other forces",,,,"External/Other forces only",,760,"Middle East",Syria,Aleppo,"Al Bab","Dayr Hafir","Dayr Hafir",36.1560,37.7093,1,"Liveuamap; SOHR","Local partner-New media","On 1 January 2025, Turkish forces targeted the sugar factory in Dayr Hafir town in Aleppo countryside with a drone. Casualties unknown.",0,,1759790065,9928,21304,27589,27589
SYR138548,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Operation Peace Spring","JWS: Syrian National Army","Rebel group","QSD: Syrian Democratic Forces",,"Rebel group","Rebel group-Rebel group",,760,"Middle East",Syria,"Ar Raqqa","Tell Abiad","Ein Issa","Ein Issa",36.3837,38.8628,2,Alkhabour,National,"On 1 January 2025, JWS operating under OPS shelled QSD positions in the vicinity of Ein Issa town in Ar Raqqa countryside with artillery. Casualties unknown.",0,,1759187423,2662,5753,5874,5874
SYR138549,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Operation Peace Spring","JWS: Syrian National Army","Rebel group","QSD: Syrian Democratic Forces",,"Rebel group","Rebel group-Rebel group",,760,"Middle East",Syria,"Ar Raqqa","Tell Abiad","Tell Abiad","Tell Abiad",36.6978,38.9548,2,Alkhabour,National,"On 1 January 2025, JWS operating under OPS shelled QSD positions on Tell Abiad axis in Ar Raqqa countryside with artillery. Casualties unknown.",0,,1759187423,11842,18828,22002,22002
SYR138737,2025-01-01,2025,1,"Political violence",Battles,"Armed clash","Rijal al Karama",,"Identity militia","Sheikh al-Karama",,"Identity militia","Identity militia-Identity militia",,760,"Middle East",Syria,"As Sweida",Shahba,Shahba,Majadel,32.9162,36.5510,1,"Alkhabour; Halab Today; Liveuamap; Rasd Network; SOHR; Suwayda 24; Syria TV; The Euphrates Post","Local partner-New media","On 1 January 2025, clashes took place between Rijal al Karama and Sheikh al-Karama militiamen in Majadel town in As Sweida countryside with light weapons, over a dispute over a government vehicle. Clashed resulted in killing between 4 to 5 people, and injuring others. Fatalities coded to 4.",4,,1736845944,1775,1829,1890,1890
SYR138908,2025-01-01,2025,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Syria)",,"Political militia","Civilians (Syria)","Former Government of Syria (2024-)",Civilians,"Political militia-Civilians","Civilian targeting",760,"Middle East",Syria,"Rural Damascus",Duma,Duma,Adra,33.6044,36.5158,1,SOHR,Other,"On 1 January 2025, unknown gunmen attacked rural Damascus deputy governor's house in Adra town in rural Damascus, and assaulted his family members including women. They also forced the deputy and his son to go out in front of the house and assault them publicly on charges of serving as a thug for the former regime, and then they kidnapped him.",0,"local administrators",1762291933,5425,18737,65239,18737
SYR138909,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Syria)",,"Political militia","Civilians (Syria)","Farmers (Syria)",Civilians,"Political militia-Civilians","Civilian targeting",760,"Middle East",Syria,"Deir ez Zor","Deir ez Zor","Deir ez Zor","Al Salhiyyah",35.3539,40.1719,1,"SOHR; Syria TV",Other-National,"On 1 January 2025, a landmine from previous clashes planted by unknown gunmen exploded in Al Salhiyyah town in Deir ez Zor countryside, seriously injuring a child while he was grazing sheep which resulted in loosing his leg. There were no fatalities.",0,,1762291933,2100,5756,5756,5756
SYR138912,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Syria)",,"Political militia","Civilians (Syria)",,Civilians,"Political militia-Civilians","Civilian targeting",760,"Middle East",Syria,"Deir ez Zor","Deir ez Zor",Khasham,Khasham,35.2984,40.2894,1,SOHR,Other,"On 1 January 2025, a landmine from previous clashes planted by unknown gunmen exploded in Khasham town in Deir ez Zor countryside, killing 2 children, and injuring seven others. 2 fatalities.",2,,1762291933,8761,15827,17520,17520
SYR138913,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Syria)",,"Political militia","Civilians (Syria)",,Civilians,"Political militia-Civilians","Civilian targeting",760,"Middle East",Syria,"As Sweida","As Sweida",Mazraa,"Rimet Al-Lahaf",32.8322,36.5247,1,"Halab Today; Suwayda 24",National,"On 1 January 2025, a landmine previously planted by unknown gunmen exploded in Rimet Al-Lahaf town in As Sweida countryside, injuring two people. There were no fatalities.",0,,1762291933,1795,1965,2654,2654
SYR138961,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Syria)",,"Political militia",,,,"Political militia only",,760,"Middle East",Syria,Aleppo,Azaz,"Tall Refaat","Deir Jamal",36.4456,37.0279,1,"Alkhabour; Halab Today; Liveuamap; SOHR; Syria TV; The Euphrates Post","Local partner-New media","On 1 January 2025, a booby-trapped motorbike planted by unknown gunmen exploded in Deir Jamal town in Aleppo countryside. Casualties unknown.",0,,1762291933,2158,2850,3085,3085
YEM95866,2025-01-01,2025,1,"Political violence",Battles,"Armed clash","Bani Yub Tribal Militia (Yemen)",,"Identity militia","Al Abdullah Bin Husayn Tribal Militia (Yemen)",,"Identity militia","Identity militia-Identity militia",,887,"Middle East",Yemen,Shabwah,"Merkhah Al Ulya",,"Al Aqir",14.5682,45.9116,2,"Al Mashhad Al Yemeni - Pro-IRG; Twitter","New media-National","On 1 January 2025, clashes erupted between Bani Yub tribe and Al Abdullah Bin Husayn tribe in Merkhah Al Ulya district (coded to district center Al Aqir) (Shabwah) using light and medium weapons. Casualties unknown. The sources suspected the reason behind the clash was tribal revenge.",0,,1739238858,256,1247,3605,3605
SYR138155,2025-01-01,2025,1,"Political violence",Battles,"Armed clash","JWS: Syrian National Army",,"Rebel group","QSD: Syrian Democratic Forces","Menbij Military Council","Rebel group","Rebel group-Rebel group",,760,"Middle East",Syria,Aleppo,Menbij,"Abu Qalqal","Kherbet Zamala",36.3380,38.1599,1,"Halab Today; Liveuamap; SOHR","Local partner-New media","On 1 January 2025, clashes took place between JWS and QSD supported by Menbij Military Council in Kherbet Zamala town in Aleppo countryside with medium and heavy weapons. Casualties unknown.",0,,1770676302,1506,1849,2466,2466
PSE66175,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,275,"Middle East",Palestine,"Gaza Strip","North Gaza",,Jabalya,31.5272,34.4835,1,Newpress,National,"On 1 January 2025, Israeli artillery shelled the northern areas of Jabalya el Balad (North Gaza, Gaza Strip). Casualties unknown.",0,,1759790002,58058,69792,69792,69792
PSE66250,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces","Civilians (Palestine)",,Civilians,"External/Other forces-Civilians","Civilian targeting",275,"Middle East",Palestine,"Gaza Strip","North Gaza",,Jabalya,31.5272,34.4835,1,"Palestine News and Information Agency",National,"On 1 January 2025, Israeli warplanes struck a residential home in Jabalya el Balad (North Gaza, Gaza Strip), resulting in fifteen dead and others injured. Additionally, an Israeli drone struck a group of people near Al Halabi Roundabout in the same location, resulting in two dead and others injured. Total fatalities coded as 17.",17,,1759790002,58058,69792,69792,69792
PSE66264,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Israel (2022-)",,"External/Other forces","Civilians (Palestine)",,Civilians,"External/Other forces-Civilians","Civilian targeting",275,"Middle East",Palestine,"Gaza Strip","Gaza City",,"Gaza - Az Zaytun",31.4964,34.4522,1,"Quds News Network",National,"On 1 January 2025, Israeli warplanes struck a residential home close to the 'Holy Family' church in Gaza - Az Zaytun (Gaza City, Gaza Strip). Casualties unknown.",0,,1759790002,32824,52816,65713,65713
SYR138911,2025-01-01,2025,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Syria)",,"Political militia","Civilians (Syria)",,Civilians,"Political militia-Civilians","Civilian targeting",760,"Middle East",Syria,Damascus,Damascus,Damascus,Damascus,33.5172,36.2767,1,SOHR,Other,"On 1 January 2025, unknown gunmen targeted a civilian vehicle near Aysha river in Damascus city with machine guns, killing a woman, and injuring her husband and brother, and kidnapping them. 1 fatality.",1,,1762291933,90296,173994,173994,173994
YEM95877,2025-01-01,2025,1,"Political violence",Battles,"Armed clash","Military Forces of Yemen (2017-) Houthi",,"State forces","Military Forces of Yemen (2022-2026) Presidential Leadership Council","Military Forces of Yemen (2022-2026) Presidential Leadership Council - STC","State forces","State forces-State forces",,887,"Middle East",Yemen,Lahij,"Al Qabbaytah",,Shurayjah,13.3664,44.4344,2,"Al Sahil Al Gharbi",National,"On 1 January 2025, overnight Houthi forces exchanged artillery with joint forces (coded as IRG + STC generic forces) along frontline positions in Karish front (coded to Shurayjah) (Al Qabbaytah) and Al Qurayn front (Al Musaymir) (Lahij), causing 'huge human and material losses' among Houthi fighters. Unclear fatalities coded as 10 on Houthi side. Fatalities split across 2 events. 5 fatalities coded to this location.",5,,1770676350,2059,3665,6655,6655
PSE66427,2025-01-01,2025,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Palestine)",,"Political militia","Military Forces of Israel (2022-)",,"External/Other forces","Political militia-External/Other forces",,275,"Middle East",Palestine,"West Bank","Ramallah and Al Bireh",,"Deir Qaddis",31.9486,35.0444,2,"Al Ghad (Jordan); Ma'an News Agency; Palestine News and Information Agency",National-Regional,"On 1 January 2025, an unidentified Palestinian assailant ran over an Israeli female soldier positioned on a checkpoint near Deir Qaddis (Ramallah and Al Bireh, West Bank), injuring her. Israeli forces opened fire at the assailant injuring him.",0,,1753956656,2574,2630,2630,2630
PSE65513,2025-01-01,2025,1,"Political violence",Battles,"Armed clash","AAMB: Balata Youth of Revenge and Liberation","Refugees/IDPs (Palestine)","Political militia","Military Forces of Israel (2022-)",,"External/Other forces","Political militia-External/Other forces",,275,"Middle East",Palestine,"West Bank",Nablus,,"Balata Camp",32.2121,35.2856,1,"Long War Journal",International,"On 1 January 2025, AAMB: Balata Youth of Revenge and Liberation exchanged fire with Israeli forces that raided the Balata Camp (Nablus, West Bank). There were no casualties.",0,,1753956656,12412,21006,21006,21006
PSE65594,2025-01-01,2025,1,"Political violence",Battles,"Armed clash","AAMB: Pioneers of Liberation - Nablus","Rioters (Palestine)","Political militia","Military Forces of Israel (2022-)",,"External/Other forces","Political militia-External/Other forces",,275,"Middle East",Palestine,"West Bank",Nablus,,Nablus,32.2211,35.2544,1,"Long War Journal; Palestine News and Information Agency; PLO Negotiations Affairs Department",Other-National,"On 1 January 2025, AAMB: Pioneers of Liberation - Nablus exchanged fire with Israeli forces that raided the old city in Nablus (Nablus, West Bank). In conjunction with the shooting, Palestinian rioters clashed with the Israeli forces. Israeli forces fired live and rubber-coated bullets, tear gas canisters, and stun grenades to disperse the rioter, injuring 4.",0,,1753956656,32916,39622,39622,39622
PSE66189,2025-01-01,2025,1,"Political violence",Battles,"Armed clash","PIJ: Katibat Tammun","Mujahideen Brigades","Political militia","Military Forces of Israel (2022-)",,"External/Other forces","Political militia-External/Other forces",,275,"Middle East",Palestine,"West Bank",Tubas,,Tammun,32.2835,35.3837,1,"Long War Journal",International,"On 1 January 2025, PIJ: Katibat Tammun and Mujahideen Brigades exchanged fire with Israeli forces that raided Tammun (Tubas, West Bank). Militants claimed they 'directly injured' Israeli forces but that has not been confirmed. There were no fatalities.",0,,1753956656,11158,13439,14525,14525
PSE66293,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Palestine)",,"Political militia","Military Forces of Israel (2022-)",,"External/Other forces","Political militia-External/Other forces",,275,"Middle East",Palestine,"West Bank",Jenin,,Rummanah,32.5245,35.2048,1,"Long War Journal",International,"On 1 January 2025, an unidentified Palestinian group targeted an Israeli military vehicle via roadside bomb in Rummanah (Jenin, West Bank), likely during a raid. There were no casualties.",0,,1753956656,2277,3797,7205,7205
PSE66341,2025-01-01,2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Palestine)",,"Political militia","Military Forces of Israel (2022-)",,"External/Other forces","Political militia-External/Other forces",,275,"Middle East",Palestine,"West Bank",Jenin,,Arrabah,32.4052,35.2019,1,"Long War Journal; Quds News Network",National-International,"On 1 January 2025, an unidentified Palestinian group targeted an Israeli military vehicle via roadside bomb in Arrabah (Jenin, West Bank), likely during a raid. There were no casualties.",0,,1753956656,8156,12217,12358,12358
PSE66292,2025-01-01,2025,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Palestine (1994-)",,"State forces","PIJ: Katibat Jenin","Refugees/IDPs (Palestine)","Political militia","State forces-Political militia",,275,"Middle East",Palestine,"West Bank",Jenin,,"Jenin - Jenin Camp",32.4605,35.2882,1,"Long War Journal",International,"Defusal: On 1 January 2025, Palestinian forces detonated a car booby-traped by PIJ: Katibat Jenin in Jenin - Jenin Camp (Jenin, West Bank).",0,,1741647031,12452,16652,16717,
