event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
IRQ63361,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Markaz Al Amadiya","Gire Bahar",37.0992,43.6066,2,"People's Defense Forces",Other,"On 17 March 2025, Turkish army forces carried out airstrikes and shelling against PKK militants in the Gire Bahar area (Al Amadiya, Duhok). Casualties unknown.",0,,1753954518,1,1,2,2
PSE70550,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Israel (2022-)",,"External/Other forces",,,,"External/Other forces only",,275,"Middle East",Palestine,"Gaza Strip","Gaza City",,"Coast of Gaza City",31.5304,34.4215,2,"Quds News Network",National,"On 17 March 2025, Israeli naval boats fired shells toward Al Sudanese sea area, off the Coast of Gaza City (Gaza City, Gaza Strip), casualties unknown. This event occurred following the expiration of the first phase of the ceasefire.",0,,1753956656,11,11,11,11
IRQ63355,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Barwari Bala",Bishilah,37.1618,43.2863,2,"People's Defense Forces",Other,"On 17 March 2025, Turkish army forces carried out shelling against PKK militants in the Besili (Bishilah) area in the Al Amadiya district of Duhok. Casualties unknown.",0,,1753954518,3,7,7,7
IRQ63356,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Markaz Al Amadiya","Chiya-e Gara",37.0394,43.5175,2,"People's Defense Forces",Other,"On 17 March 2025, Turkish army forces carried out airstrikes and shelling in the Heftebax area and airstrikes in the Gire Resid and Gire Mesken areas (Kurdish names) against PKK militants in the Chiya-e Gara region of Duhok. Casualties unknown.",0,,1753954518,4,9,179,179
IRQ63357,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Markaz Al Amadiya","Chiya-e Gara",37.0394,43.5175,2,"People's Defense Forces",Other,"On 17 March 2025, Turkish army forces carried out shelling against PKK militants in the Gire Kun area (Kurdish name) in the Chiya-e Gara region of Duhok. Casualties unknown.",0,,1753954518,4,9,179,179
IRQ63358,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Markaz Al Amadiya",Dereshe,37.0484,43.5314,2,"People's Defense Forces",Other,"On 17 March 2025, Turkish army forces carried out airstrikes and shelling against PKK forces in the Derese (Dereshe) area (Al Amadiya, Duhok). Casualties unknown.",0,,1753954518,118,190,442,442
IRQ63359,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Ninewa,Aqra,Dinarta,"Desta Kafya",36.9406,43.7469,2,"People's Defense Forces",Other,"On 17 March 2025, Turkish army warplanes carried out airstrikes against PKK forces in the Desta Kafya area (Aqra, Ninewa). Casualties unknown.",0,,1764045636,23,62,101,101
IRQ63360,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Markaz Al Amadiya","Gire Amediye",37.1134,43.5110,2,"People's Defense Forces",Other,"On 17 March 2025, Turkish army forces carried out airstrikes and shelling against PKK militants and war tunnels in the Gire Amediye area (Al Amadiya, Duhok). HPG (PKK) claimed that Turkish forces used banned explosives, including phosphorus bombs, during the shelling, but other sources did not confirm this. Casualties unknown.",0,,1753954518,16,153,163,163
IRQ63362,2025-03-17,2025,1,"Political violence",Battles,"Armed clash","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Barwari Bala","Gire Cudi",37.1459,43.5907,2,"People's Defense Forces",Other,"On 17 March 2025, PKK militants attacked Turkish army forces via medium and heavy weapons in the Gire Cudi area (Al Amadiya, Duhok). In conjunction, Turkish army helicopters conducted airstrikes targeting PKK militants in the same area. Casualties unknown.",0,,1753954518,0,3,16,16
IRQ63363,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya","Markaz Al Amadiya",Girgash,37.0416,43.5900,1,"People's Defense Forces",Other,"On 17 March 2025, Turkish army forces carried out shelling against PKK militants in the Girgase (Girgash) village of Al Amadiya district, Duhok. Casualties unknown.",0,,1753954518,8,10,67,67
IRQ63367,2025-03-17,2025,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Turkey (2016-)",,"External/Other forces","PKK: Kurdistan Workers Party",,"Rebel group","Rebel group-External/Other forces",,368,"Middle East",Iraq,Duhok,"Al Amadiya",Sarsank,Marane,36.9500,43.4400,2,"People's Defense Forces",Other,"On 17 March 2025, Turkish army warplanes carried out airstrikes against PKK militants in the Merane (Marane) area (Kurdish name) in the Gare (Chiya-e Gara) region (Al Amadiya, Duhok). Casualties unknown.",0,,1753954518,1,66,83,83
